 (Half Day), (نیم روز)
Draft,پیش نویس
Drafts,پیش نویس
Drag to sort columns,کشیدن برای مرتب سازی ستونها
Dropbox,Dropbox
Dropbox Access Allowed,اجازه دسترسی Dropbox
Dropbox Access Key,کلید دسترسی Dropbox
Dropbox Access Secret,راز دراپ باکس دسترسی
Due Date,موعد مقرر
Duplicate Item ,آیتم های تکراری
EMP/,EMP \/
ESIC CARD No,شماره کارت ESIC
ESIC No.,شماره ESIC
Earning,درآمد
Earning & Deduction,درآمد & کسر
Earning Type,نوع درآمد
Earning1,Earning1
Edit,ویرایش
Editable,قابل ویرایش
Educational Qualification,صلاحیت آموزشی
Educational Qualification Details,جزئیات صلاحیت آموزشی
Eg. smsgateway.com/api/send_sms.cgi,به عنوان مثال. smsgateway.com\/api\/send_sms.cgi
Email,ایمیل
Email (By company),ایمیل (توسط شرکت)
Email Digest,خلاصه ایمیل
Email Digest Settings,خلاصه تنظیمات ایمیل
Email Host,ایمیل میزبان
Email Id,ایمیل
"Email Id must be unique, already exists for: ",ایمیل باید منحصر به فرد، در حال حاضر موجود برای:
"Email Id where a job applicant will email e.g. ""jobs@example.com""",ایمیل Id که در آن متقاضی کار ایمیل مانند \""jobs@example.com\""
Email Login,ورود به ایمیل
Email Password,رمز عبور ایمیل
Email Sent,ایمیل فرستاده شده
Email Sent?,ایمیل فرستاده است؟
Email Settings,تنظیمات ایمیل
Email Settings for Outgoing and Incoming Emails.,تنظیمات ایمیل برای ایمیل های خروجی و ورودی.
Email Signature,امضای ایمیل
Email Use SSL,ایمیل استفاده از SSL
"Email addresses, separted by commas",آدرس ایمیل separted با کاما
Email ids separated by commas.,شناسه ایمیل با کاما جدا شده است.
"Email settings for jobs email id ""jobs@example.com""",تنظیمات برای مشاغل ایمیل ایمیل آیدی \""jobs@example.com\""
"Email settings to extract Leads from sales email id e.g. ""sales@example.com""",ایمیل تنظیمات منجر از فروش استخراج ایمیل شناسه مثال \""sales@example.com\""
Email...,ایمیل...
Emergency Contact Details,جزئیات تماس اضطراری
Emergency Phone Number,شماره تلفن اضطراری
Employee,کارمند
Employee Birthday,تولد کارمند
Employee Designation.,کارمند تعیین.
Employee Details,اطلاعات کارمند
Employee Education,کارمند آموزش و پرورش
Employee External Work History,کارمند سابقه کار خارجی
Employee Information,اطلاعات کارمند
Employee Internal Work History,کارمند سابقه کار داخلی
Employee Internal Work Historys,کارمند داخلی کار کردن Historys
Employee Leave Approver,کارمند ترک Approver
Employee Leave Balance,کارمند ترک تعادل
Employee Name,نام کارمند
Employee Number,تعداد کارکنان
Employee Records to be created by,سوابق کارمند به ایجاد شده توسط
Employee Setup,کارمند راه اندازی
Employee Type,نوع کارمند
Employee grades,نمرات کارمند
Employee record is created using selected field. ,رکورد کارمند با استفاده از رشته های انتخابی ایجاد می شود.
Employee records.,سوابق کارمند.
Employee: ,کارمند:
Employees Email Id,شناسه پست الکترونیکی کارکنان
Employment Details,جزئیات استخدام
Employment Type,نوع استخدام
Enable Shopping Cart,فعال کردن سبد خرید
Enabled,را فعال کنید
Enables <b>More Info.</b> in all documents,<b>بیشتر اطلاعات.<\/b> را قادر می سازد در تمام اسناد و مدارک
Encashment Date,تاریخ Encashment
End Date,تاریخ پایان
End date of current invoice's period,تاریخ پایان دوره فاکتور فعلی
End of Life,پایان زندگی
Ends on,در پایان می رسد
Enter Email Id to receive Error Report sent by users.E.g.: support@iwebnotes.com,را وارد کنید ایمیل برای دریافت گزارش خطا ارسال شده توسط users.E.g.: support@iwebnotes.com
Enter Form Type,نوع فرم وارد کنید
Enter Row,ردیف را وارد کنید
Enter Verification Code,کد امنیتی را وارد کنید
Enter campaign name if the source of lead is campaign.,اگر منبع سرب است مبارزات انتخاباتی نام را وارد کنید.
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to <a href=""#Form/Customize Form/Customize Form"">Customize Form</a>.",زمینه های ارزش های پیش فرض (کلید) و مقادیر را وارد کنید. اگر افزودن مقادیر چند فیلد اول برداشت خواهد شد. پیش فرض ها نیز به مجموعه ای از قوانین مجوز «مطابقت» استفاده می شود. برای دیدن لیست زمینه های به <a href=\""#Form\/Customize Form\/Customize Form\""> فرم های سفارشی<\/a>.
Enter department to which this Contact belongs,وارد بخش که این تماس به آن تعلق دارد
Enter designation of this Contact,تعیین این تماس را وارد کنید
"Enter email id separated by commas, invoice will be mailed automatically on particular date",را وارد کنید ایمیل با کاما جدا شده، فاکتور را به طور خودکار در تاریخ خاص از طریق پست
Enter items and planned qty for which you want to raise production orders or download raw materials for analysis.,اقلام و تعداد برنامه ریزی شده که شما می خواهید به جمع آوری سفارشات تولید و یا مواد اولیه برای تجزیه و تحلیل دانلود وارد کنید.
Enter name of campaign if source of enquiry is campaign,اگر منبع درخواست کمپین نام مبارزات انتخاباتی را وارد کنید
"Enter static url parameters here (Eg. sender=Owrang, username=Owrang, password=1234 etc.)",پارامترهای استاتیک آدرس اینجا را وارد کنید (Eg. فرستنده = Owrang نام کاربری = Owrang، رمز عبور = 1234 و غیره.)
Enter the company name under which Account Head will be created for this Supplier,نام شرکت که سر حساب برای این فروشنده ایجاد خواهد شد را وارد کنید
Enter the date by which payments from customer is expected against this invoice.,وارد کنید تاریخ توسط پرداخت که از مشتری در برابر این فاکتور به انتظار می رود.
Enter url parameter for message,پارامتر url برای پیام وارد کنید
Enter url parameter for receiver nos,پارامتر url را برای گیرنده (nos) را وارد کنید
Entries,نوشته های
Entries are not allowed against this Fiscal Year if the year is closed.,اگر سال بسته است ورودی برابر سال مالی جاری مجاز نمی باشد.
Error,خطا
Error for,خطا برای
Error: Document has been modified after you have opened it,خطا: پس از شما آن را باز سند اصلاح شده است
Estimated Material Cost,برآورد هزینه مواد
Event,رویداد
Event End must be after Start,پایان واقعه پس از شروع می باید
Event Individuals,رویداد افراد
Event Role,رویداد نقش
Event Roles,رویداد نقش
Event Type,نوع رویداد
Event User,رویداد کاربر
Events In Today's Calendar,رویدادهای تقویم امروز
Every Day,هر روز
Every Month,هر ماه
Every Week,هر هفته
Every Year,هر سال
Everyone can read,هر کس می توانید بخوانید
Example:,به عنوان مثال:
"Example: ABCD.#####If series is set and Serial No is not mentioned in transactions, then automatic serial number will be created based on this series. If you always want to explicitly mention Serial Nos for this item. leave this blank.",به عنوان مثال: ABCD ###If سری تنظیم شده است و شماره سریال در معاملات ذکر شده، سپس خودکار شماره سریال در این سری ایجاد خواهد شد. اگر شما همیشه می خواهید به صراحت ذکر (nos) سریال برای این آیتم. این را خالی بگذارید.
Exchange Rate,نرخ ارز
Excise Page Number,غیر مستقیم شماره صفحه
Excise Voucher,کوپن های غیر مستقیم
Exemption Limit,معافیت محدودیت
Exhibition,نمایشگاه
Existing Customer,مشتری های موجود
Exit,خروج
Exit Interview Details,جزئیات مصاحبه خروج
Expected,انتظار می رود
Expected Delivery Date,تاریخ تحویل انتظار می رود
Expected End Date,تاریخ پایان انتظار می رود
Expected Start Date,تاریخ شروع انتظار می رود
Expense Account,حساب هزینه
"Expense Account can not be a PL Account, as this stock \					reconciliation is an opening entry. \					Please select 'Temporary Account (Liabilities)' or relevant account",حساب هزینه نمی تواند یک حساب PL به عنوان سهام این \\ آشتی ورود باز است. \\ لطفاً 'حساب موقت (بدهی)' یا حساب مربوطه را انتخاب کنید
Expense Account is mandatory,حساب هزینه الزامی است
Expense Claim,ادعای هزینه
Expense Claim Approved,ادعا می کنند هزینه های مصوب
Expense Claim Approved Message,ادعای هزینه تایید پیام
Expense Claim Detail,جزئیات ادعای هزینه
Expense Claim Details,جزئیات ادعای هزینه
Expense Claim Rejected,هزینه ادعا را رد کرد
Expense Claim Rejected Message,ادعای هزینه پیام رد
Expense Claim Type,نوع ادعای هزینه
Expense Date,هزینه های تاریخ
Expense Details,اطلاعات بیشتر در هزینه
Expense Head,هزینه سر
Expense account is mandatory for item,حساب هزینه مورد الزامی است
Expense/Difference account is mandatory for item: ,حساب هزینه\/تفاوت اجباری مورد است:
Expenses Booked,هزینه رزرو
Expenses Included In Valuation,هزینه های ارزیابی شامل
Expenses booked for the digest period,هزینه رزرو دوره خلاصه
Expiry Date,تاریخ انقضاء
Export,صادرات
Exports,صادرات
External,خارجی
Extract Emails,استخراج ایمیل ها
FCFS Rate,نرخ FCFS
FIFO,FIFO
Facebook Share,سهم فیس بوک
Failed: ,شکست خورده:
Family Background,سابقه خانوادگی
FavIcon,FavIcon
Fax,فکس
Features Setup,ویژگی های راه اندازی
Feed,خوراک
Feed Type,نوع اشتراک
Feedback,انتقادات و پیشنهادات
Female,زن
Fetch lead which will be converted into customer.,واکشی سرب که به مشتری تبدیل می شود.
Field Description,شرح میدان
Field Name,نام زمینه
Field Type,نوع زمینه
"Field available in Delivery Note, Quotation, Sales Invoice, Sales Order",رشته های موجود در یادداشت تحویل و نقل قول و فاکتور فروش، سفارش فروش
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)",میدان است که نشان دهنده وضعیت گردش معامله (اگر زمینه حاضر است، پنهان زمینه سفارشی جدید ایجاد خواهد شد)
Fieldname,آفست
Fields,زمینه های
"Fields separated by comma (,) will be included in the<br /><b>Search By</b> list of Search dialog box",زمینه های از هم جدا شده توسط کاما (،) در شامل < br \/ > <b>جستجو توسط<\/b> لیست جعبه گفتگو جستجو
File,دریافت فایل
File Data,فایل داده ها
File Name,نام پرونده
File Size,حجم فایل
File URL,آدرس فایل
File size exceeded the maximum allowed size,حجم فایل بیش از اندازه مجاز
Files Folder ID,پوشه پرونده های شناسه
Filing in Additional Information about the Opportunity will help you analyze your data better.,پر کردن در اطلاعات بیشتری در مورد این فرصت را به شما تجزیه و تحلیل داده های خود را بهتر کمک می کند.
Filing in Additional Information about the Purchase Receipt will help you analyze your data better.,پر کردن در اطلاعات بیشتری در مورد رسید خرید کمک خواهد کرد که شما تجزیه و تحلیل داده های خود را بهتر.
Filling in Additional Information about the Delivery Note will help you analyze your data better.,پر کردن در اطلاعات بیشتری در مورد توجه تحویل تجزیه و تحلیل داده های خود را بهتر کمک خواهد کرد.
Filling in additional information about the Quotation will help you analyze your data better.,پر کردن در اطلاعات بیشتری در مورد نقل قول کمک خواهد کرد که شما تجزیه و تحلیل داده های خود را بهتر.
Filling in additional information about the Sales Order will help you analyze your data better.,پر کردن در اطلاعات بیشتری در مورد سفارش فروش تجزیه و تحلیل داده های خود را بهتر کمک خواهد کرد.
Filter,فیلتر
Filter By Amount,مقدار فیلتر
Filter By Date,فیلتر شده توسط
Filter based on customer,مشتری بر اساس فیلتر
Filter based on item,در مورد فیلتر
Final Confirmation Date,تاریخ تایید نهایی
Financial Analytics,تجزیه و تحلیل مالی
Financial Statements,صورتهای مالی
Finder,یابنده
First Name,نام
First Responded On,اول در پاسخ
Fiscal Year,سال مالی
Fixed Asset Account,حساب دارایی ثابت
Float,شناور
Float Precision,دقت شناور
Follow via Email,پیگیری از طریق ایمیل
"Following table will show values if items are sub - contracted. These values will be fetched from the master of ""Bill of Materials"" of sub - contracted items.",جدول زیر مقادیر نشان می دهد اگر موارد زیر--قرارداد هستند. این ارزش ها را می توان از استاد \""بیل از مواد\"" از زیرنویس دریافتی--قرارداد موارد برداشته می شود.
Font (Heading),قلم (سرفصل)
Font (Text),قلم (متن)
Font Size (Text),اندازه قلم (متن)
Fonts,فونت
Footer,پاورقی
Footer Items,موارد بالا و پایین صفحه
For All Users,برای همه کاربران
For Company,برای شرکت
For Employee,کارمند
For Employee Name,نام کارمند
"For Links, enter the DocType as rangeFor Select, enter list of Options separated by comma",برای لینک، DocType را به عنوان rangeFor انتخاب کنید را وارد کنید، وارد لیست گزینه های جدا شده توسط کاما
For Production,برای تولید
For Reference Only.,برای مرجع تنها.
For Sales Invoice,برای فاکتور فروش
For Server Side Print Formats,برای سمت سرور چاپ فرمت
For Territory,برای خاک
For UOM,برای UOM
For Warehouse,برای انبار
"For comparative filters, start with",برای فیلتر های تطبیقی با شروع
"For e.g. 2012, 2012-13",برای مثال سال 2012، 2012 13
For example if you cancel and amend 'INV004' it will become a new document 'INV004-1'. This helps you to keep track of each amendment.,برای مثال اگر شما لغو و اصلاح 'INV004' آن سند جدید \""INV004-1\"" تبدیل خواهد شد. این کمک می کند تا به شما برای پیگیری هر اصلاحیه.
For example: You want to restrict users to transactions marked with a certain property called 'Territory',برای مثال: شما می خواهید برای محدود کردن کاربران به معاملات با ويژگي خاص به نام 'خاک' مشخص شده
For opening balance entry account can not be a PL account,برای باز کردن تعادل ورود حساب نمی PL حساب می تواند
For ranges,برای محدوده
For reference,مرجع
For reference only.,برای مرجع تنها.
For row,برای ردیف
"For the convenience of customers, these codes can be used in print formats like Invoices and Delivery Notes",برای راحتی مشتریان این کد ها در فرمت های چاپ مانند یادداشت تحویل و فاکتورها استفاده می شود
Form,فرم
Format: hh:mm example for one hour expiry set as 01:00. Max expiry will be 72 hours. Default is 24 hours,فرمت: hh:mm مثال برای یک ساعت انقضاء مجموعه به 01:00. انقضاء حداکثر 72 ساعت خواهد بود. پیش فرض در 24 ساعت است
Forum,تالار گفتگو
Forward To Email Address,ارسال به آدرس پست الکترونیک
Fraction,کسری
Fraction Units,واحد کسری
Freeze Stock Entries,مسدود کردن سهام ها
Friday,جمعه
From,از
From Bill of Materials,از بیل مواد
From Company,از شرکت
From Currency,از ارز
From Currency and To Currency cannot be same,از پول و برای پول می تواند همان
From Customer,از مشتری
From Date,از تاریخ
From Date must be before To Date,باید از تاریخ قبل از به تاریخ باشد
From Delivery Note,از یادداشت های تحویل
From Employee,از کارمند
From Lead,از سرب
From Opportunity,از فرصت
From Package No.,از شماره بسته
From Purchase Order,از سفارش خرید
From Purchase Receipt,از خرید دریافت
From Sales Order,از سفارش فروش
From Time,از زمان
From Value,از مقدار
From Value should be less than To Value,از ارزش کمتر از مقدار را باید
Frozen,یخ زده
Frozen Accounts Modifier,اصلاح حساب های یخ زده
Fulfilled,برآورده
Full Name,نام و نام خانوادگی
Fully Completed,به طور کامل به پایان رسید
GL Entry,ورود GL
GL Entry: Debit or Credit amount is mandatory for ,ورود GL: مقدار بدهی و یا اعتباری برای الزامی است
GRN,GRN
Gantt Chart,گانت چارت
Gantt chart of all tasks.,گانت چارت از تمام کارها.
Gender,جنسیت
General,عمومی
General Ledger,عمومی لجر
Generate Description HTML,شرح اچ تی ام ال تولید
Generate Material Requests (MRP) and Production Orders.,درخواست مواد (لوازم) و سفارشات تولید.
Generate Salary Slips,تولید ورقه های حقوق و دستمزد
Generate Schedule,برنامه ریزی تولید
"Generate packing slips for packages to be delivered. Used to notify package number, package contents and its weight.",تولید بسته بندی ورقه های تحویل داده می شود. به اطلاع تعداد بسته و محتویات بسته و وزن خود استفاده می شود.
Generates HTML to include selected image in the description,تولید نسخه متنی شامل تصویر انتخاب شده در توضیحات
Georgia,گرجستان
Get,دریافت
Get Advances Paid,پیشرفت پرداخت کنید
Get Advances Received,دریافت پيش دريافتها
Get Current Stock,دریافت فعلی سهام
Get From ,از
Get Items,دریافت موارد
Get Items From Sales Orders,دریافت موارد از دستورات فروش
Get Last Purchase Rate,آخرین نرخ خرید
Get Non Reconciled Entries,عدم دریافت ورودی بپذیر
Get Outstanding Invoices,دریافت فاکتورها برجسته
Get Sales Orders,دریافت سفارشات فروش
Get Specification Details,دریافت جزئیات مشخصات
Get Stock and Rate,سهام و نرخ
Get Template,دریافت قالب
Get Terms and Conditions,شرایط و ضوابط دریافت
Get Weekly Off Dates,کردن تاریخ بارگیری در این هفته
"Get valuation rate and available stock at source/target warehouse on mentioned posting date-time. If serialized item, please press this button after entering serial nos.",دریافت نرخ ارزیابی و سهام موجود در منبع و مقصد انبار ذکر تاریخ و زمان ارسال کنید. اگر serialized مورد لطفا این پس از وارد کردن سریال (nos) فشار دهید.
Give additional details about the indent.,جزئیات بیشتر درباره تورفتگی را.
Global Defaults,پیش فرض های جهانی
Go back to home,بازگشت به صفحه اصلی
Go to Setup > <a href='#user-properties'>User Properties</a> to set \			'territory' for diffent Users.,رفتن به راه اندازی > <a href='#user-properties'> ویژگیهای کاربر<\/a> برای تنظیم \\ 'خاک' برای متفاوتي کاربران.
Goal,هدف
Goals,اهداف
Goods received from Suppliers.,دریافت از تامین کنندگان کالا.
Google Analytics ID,شناسه گوگل آنالیز
Google Drive,گوگل درایو
Google Drive Access Allowed,درایو گوگل دسترسی مجاز
Google Plus One,گوگل به علاوه یک
Google Web Font (Heading),فونت وب گوگل (سرفصل)
Google Web Font (Text),فونت وب گوگل (متن)
Grade,درجه
Graduate,فارغ التحصیل
Grand Total,مجموع کلی
Grand Total (Company Currency),مجموع بزرگ (شرکت واحد)
Gratuity LIC ID,جایزه LIC شناسه
Gross Margin %,درصد حاشیه ناخالص
Gross Margin Value,مقدار حاشیه ناخالص
Gross Pay,دستمزد ناخالص
Gross Pay + Arrear Amount +Encashment Amount - Total Deduction,دستمزد ناخالص + مقدار Arrear و مقدار Encashment - کسر کل
Gross Profit,سود ناخالص
Gross Profit (%),سود ناخالص (درصد)
Gross Weight,وزن ناخالص
Gross Weight UOM,وزن ناخالص UOM
Group,گروه
Group or Ledger,گروه یا لجر
Groups,گروه
HR,منابع انسانی
HR Settings,تنظیمات ساعت
HTML,اچ تی ام ال
HTML / Banner that will show on the top of product list.,نسخه متنی \/ بنر که بالای محصولات نشان می دهد.
Half Day,نیم روز
Half Yearly,نیمه سالانه
Half-yearly,نیمه سالانه
Happy Birthday!,تولدت مبارک!
Has Batch No,دسته ای ندارد
Has Child Node,گره فرزند
Has Serial No,شماره سریال است
Header,هدر
Heading,سرفصل
Heading Text As,متن به عنوان سرفصل
Heads (or groups) against which Accounting Entries are made and balances are maintained.,سر (یا گروه) برابر که حسابداری ورودی ساخته می شوند و حفظ تعادل هستند.
Health Concerns,نگرانی های سلامت
Health Details,اطلاعات سلامت
Held On,برگزار می شود
Help,کمک
Help HTML,راهنمای HTML
"Help: To link to another record in the system, use ""#Form/Note/[Note Name]"" as the Link URL. (don't use ""http://"")",راهنما: استفاده لینک به رکورد دیگری در سیستم، \""#Form در یادداشت \/ [توجه داشته باشید نام]\"" به عنوان لینک آدرس. (\""http:\/\/\"" استفاده نمی شود)
Helvetica Neue,Helvetica Neue
"Here you can maintain family details like name and occupation of parent, spouse and children",در اینجا شما می توانید حفظ خانواده جزئیات مانند نام و شغل پدر و مادر، همسر و فرزندان
"Here you can maintain height, weight, allergies, medical concerns etc",در اینجا شما می توانید حفظ ارتفاع، وزن، آلرژی، نگرانی های پزشکی و غیره
Hey! All these items have already been invoiced.,آهای! همه این موارد صورتحساب در حال حاضر شده است.
Hey! There should remain at least one System Manager,آهای! همچنان باید وجود حداقل یک سیستم مدیریت
Hidden,پنهان
Hide Actions,پنهان کردن اقدامات
Hide Copy,کپی مخفی
Hide Currency Symbol,پنهان کردن نماد پول رایج
Hide Email,پست الکترونیک مخفی
Hide Heading,پنهان کردن سرفصل
Hide Print,عدم نمایش نسخه قابل چاپ
Hide Toolbar,پنهان کردن نوار ابزار
High,بالا
Highlight,برجسته کردن
History,تاریخچه
History In Company,تاریخچه شرکت
Hold,نگه دارید
Holiday,تعطیلات
Holiday List,تعطیلات فهرست
Holiday List Name,نام لیست تعطیلات
Holidays,تعطیلات
Home,صفحه اصلی
Home Page,صفحه اصلی
Home Page is Products,صفحه اصلی محصولات است
Home Pages,صفحه اصلی
Host,میزبان
"Host, Email and Password required if emails are to be pulled",میزبان، ایمیل و رمز عبور مورد نیاز اگر ایمیل این است که کشیده
Hour Rate,میزان ساعت
Hour Rate Consumable,ساعت نرخ لوازم مصرفي
Hour Rate Electricity,ساعت میزان برق
Hour Rate Labour,میزان ساعت کار
Hour Rate Rent,میزان ساعت اجاره
Hours,ساعت
How frequently?,چگونه اغلب?
"How should this currency be formatted? If not set, will use system defaults",چگونه این ارز قالب باید است؟ اگر نه تنظیم، سیستم به صورت پیش فرض استفاده خواهد شد
Human Resources,منابع انسانی
Hurray! The day(s) on which you are applying for leave \					coincide with holiday(s). You need not apply for leave.,Hurray! روزها که در آن شما در حال استفاده برای ترک \\ همزمان با holiday(s). برای ترک را درخواست نیاز.
I,من
ID (name) of the entity whose property is to be set,شناسه (نام) از نهاد است که دارایی تعیین می شوند
IDT,IDT
II,دوم
III,سوم
IN,در
INV,ه
INV/10-11/,ه\/10-11 \/
ITEM,قلم دوم از اقلام
IV,چهارم
Icon,آیکون
Icon will appear on the button,آیکون ظاهر خواهد شد بر روی دکمه
Id of the profile will be the email.,شناسه پروفایل ایمیل خواهد بود.
Identification of the package for the delivery (for print),شناسایی بسته برای تحویل (برای چاپ)
If Income or Expense,اگر درآمد یا هزینه
If Monthly Budget Exceeded,اگر بیش از بودجه ماهانه
"If Sale BOM is defined, the actual BOM of the Pack is displayed as table.Available in Delivery Note and Sales Order",اگر تعریف فروش BOM BOM واقعی بسته به عنوان جدول نمایش داده می شود.در یادداشت تحویل و سفارش فروش
"If Supplier Part Number exists for given Item, it gets stored here",اگر تولید کننده شماره قسمت برای داده مورد وجود دارد، آن را به اینجا ذخیره شده می شود
If Yearly Budget Exceeded,اگر بیش از بودجه سالانه
"If a User does not have access at Level 0, then higher levels are meaningless",اگر یک کاربر دسترسی در سطح 0 ندارد، و سپس سطح بالاتر بی معنی هستند
"If checked, BOM for sub-assembly items will be considered for getting raw materials. Otherwise, all sub-assembly items will be treated as a raw material.",اگر چک، BOM برای موارد زیر مونتاژ برای گرفتن مواد اولیه در نظر گرفته خواهد شد. در غیر این صورت، همه موارد زیر مجمع به عنوان مواد خام تلقي نمي شود.
"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day",اگر چک، مجموع ندارد. از روز کاری عبارتند از تعطیلات، و این مقدار حقوق و دستمزد در هر روز کاهش می دهد
"If checked, all other workflows become inactive.",اگر چک، تمام گردش های دیگر غیر فعال شود.
"If checked, an email with an attached HTML format will be added to part of the EMail body as well as attachment. To only send as attachment, uncheck this.",اگر چک، یک ایمیل با فرمت اچ متصل به بخشی از بدن ایمیل و همچنین فایل پیوست اضافه می شود. برای ارسال تنها به عنوان پیوست این علامت را بردارید.
"If checked, the Home page will be the default Item Group for the website.",اگر چک، صفحه اصلی پیش فرض مورد گروه برای وب سایت خواهد بود.
"If checked, the tax amount will be considered as already included in the Print Rate / Print Amount",اگر چک، مقدار مالیات به عنوان در حال حاضر شامل ميزان چاپ گرفته خواهد شد \/ چاپ مقدار
"If disable, 'Rounded Total' field will not be visible in any transaction",اگر غیر فعال کردن، زمینه 'Rounded مجموع' در هر معامله نخواهند شد
"If enabled, the system will post accounting entries for inventory automatically.",اگر فعال، سیستم حسابداری ورودی برای موجودی به طور خودکار ارسال.
"If image is selected, color will be ignored (attach first)",اگر تصویر انتخاب رنگ را نادیده گرفت (ضمیمه اول)
If more than one package of the same type (for print),اگر بیش از یک بسته از همان نوع (برای چاپ)
If non standard port (e.g. 587),اگر پورت های غیر استاندارد (عنوان مثال 587)
If not applicable please enter: NA,اگر قابل استفاده نیست لطفا: NA
"If not checked, the list will have to be added to each Department where it has to be applied.",اگر نه چک، لیست به هر بخش آن جایی که به استفاده شود به اضافه داشته باشد.
"If not, create a",اگر نه، ایجاد
"If set, data entry is only allowed for specified users. Else, entry is allowed for all users with requisite permissions.",اگر تنظیم ورود داده ها تنها برای کاربران تعیین شده مجاز است. دیگری، ورود برای همه کاربران با مجوزهای لازم مجاز است.
"If specified, send the newsletter using this email address",اگر مشخص شده، خبرنامه با استفاده از این آدرس ایمیل بفرستید
"If the 'territory' Link Field exists, it will give you an option to select it",اگر 'خاک' میدان لینک وجود دارد، آن به شما یک گزینه را انتخاب کنید آن را
"If the account is frozen, entries are allowed to restricted users.",اگر حساب منجمد ورودی مجاز به کاربران محدود است.
"If this Account represents a Customer, Supplier or Employee, set it here.",اگر این حساب نشان دهنده یک مشتری تامین کننده یا کارمند، آن را در اینجا مجموعه ای.
If you follow Quality Inspection<br>Enables item QA Required and QA No in Purchase Receipt,اگر شما به دنبال کیفیت بازرسی <br>را قادر می سازد مورد QA مورد نیاز و بدون QA در رسید خرید
If you have Sales Team and Sale Partners (Channel Partners)  they can be tagged and maintain their contribution in the sales activity,اگر شما تیم فروش و فروش همکاران (کانال شرکای) آنها می توانند برچسب و حفظ سهم خود را در فعالیت های فروش
"If you have created a standard template in Purchase Taxes and Charges Master, select one and click on the button below.",اگر قالب استاندارد را در مالیات خرید و استاد اتهام ایجاد است یکی را انتخاب کنید و روی دکمه زیر کلیک کنید.
"If you have created a standard template in Sales Taxes and Charges Master, select one and click on the button below.",اگر شما ایجاد یک قالب استاندارد در فروش مالیات و هزینه های کارشناسی ارشد، یکی را انتخاب کنید و روی دکمه زیر کلیک کنید.
"If you have long print formats, this feature can be used to split the page to be printed on multiple pages with all headers and footers on each page",اگر فرمت طولانی چاپ این ویژگی می تواند به تقسیم صفحه به چاپ شده در چندین صفحه با تمام سرصفحه ها و پانویس در هر صفحه استفاده می شود
If you involve in manufacturing activity<br>Enables item <b>Is Manufactured</b>,اگر شما را در شامل ساخت فعالیت های <br>مورد <b>ساخته شده است<\/b> را قادر می سازد
Ignore,نادیده گرفتن
Ignored: ,نادیده گرفته شده:
Image,تصویر
Image Link,لینک تصویر
Image View,مشاهده تصویر
Implementation Partner,همکار پیاده سازی
Import,واردات
Import Attendance,حضور و غیاب واردات
Import Log,ورود به سیستم واردات
Important dates and commitments in your project life cycle,تاریخهای مهم و تعهدات در چرخه حیات پروژه
Imports,واردات
In Dialog,در گفت و گو
In Filter,در فیلتر
In Hours,در ساعت
In List View,در نمای لیست
In Process,در فرایند
In Report Filter,در گزارش فیلتر
In Row,در ردیف
In Words,در کلمات
In Words (Company Currency),عبارت (شرکت واحد)
In Words (Export) will be visible once you save the Delivery Note.,عبارت (صادرات) رؤیت شود هنگامی که شما ذخیره یادداشت تحویل.
In Words will be visible once you save the Delivery Note.,هنگامی که شما ذخیره یادداشت تحویل در کلمات قابل مشاهده خواهد بود.
In Words will be visible once you save the Purchase Invoice.,هنگامی که شما فاکتور خرید صرفه جویی در کلمات قابل مشاهده خواهد بود.
In Words will be visible once you save the Purchase Order.,هنگامی که شما سفارش خرید را نجات کلمات قابل مشاهده خواهد بود.
In Words will be visible once you save the Purchase Receipt.,هنگامی که شما دریافت خرید صرفه جویی در کلمات قابل مشاهده خواهد بود.
In Words will be visible once you save the Quotation.,هنگامی که شما نقل قول را نجات کلمات قابل مشاهده خواهد بود.
In Words will be visible once you save the Sales Invoice.,هنگامی که شما ذخیره فاکتور فروش در کلمات قابل مشاهده خواهد بود.
In Words will be visible once you save the Sales Order.,هنگامی که شما سفارش فروش را نجات کلمات قابل مشاهده خواهد بود.
In response to,در پاسخ به
"In the Permission Manager, click on the button in the 'Condition' column for the Role you want to restrict.",در مدیریت مجوز برای نقش شما می خواهید برای محدود کردن بر روی دکمه 'شرط' ستون کلیک کنید.
Incentives,مشوق
Incharge Name,نام Incharge
Include holidays in Total no. of Working Days,تعطیلات در بدون کل باشد. روز کارگر
Income / Expense,درآمد \/ هزینه
Income Account,حساب درآمد
Income Booked,درآمد رزرو
Income Year to Date,درآمد سال به تاریخ
Income booked for the digest period,درآمد رزرو دوره خلاصه
Incoming,ورودی
Incoming / Support Mail Setting,ورودی \/ تنظیمات ایمیل پشتیبانی
Incoming Rate,میزان دریافتی
Incoming quality inspection.,بازرسی کیفیت دریافتی.
Index,شاخص
Indicates that the package is a part of this delivery,نشان می دهد که بسته بخشی از تحویل این است
Individual,فرد
Individuals,افراد
Industry,صنعت
Industry Type,نوع صنعت
Info,اطلاعات
Insert After,پس از درج
Insert Below,زیر را وارد کنید
Insert Code,کد را وارد کنید
Insert Row,درج ردیف
Insert Style,سبک را وارد کنید
